report_id,zone_id,timestamp,category,time_window,description_stub,status
REP00001,Z03,2026-03-20T14:13:31Z,traffic,morning(06-09),Report of traffic noise in Z03 during morning(06-09). (Synthetic; no personal data),invalid
REP00029,Z10,2025-10-01T16:13:00Z,other,late(22-24),Report of other noise in Z10 during late(22-24). (Synthetic; no personal data),valid
REP00030,Z03,2025-10-01T16:30:00Z,traffic,night(00-06),Report of traffic noise in Z03 during night(00-06). (Synthetic; no personal data),under_review
REP00031,Z04,2025-10-01T16:47:00Z,neighbours,day(09-17),Report of neighbours noise in Z04 during day(09-17). (Synthetic; no personal data),under_review
REP00032,Z05,2025-10-01T17:04:00Z,other,morning(06-09),Report of other noise in Z05 during morning(06-09). (Synthetic; no personal data),under_review
REP00033,Z01,2025-10-01T17:21:00Z,music,night(00-06),Report of music noise in Z01 during night(00-06). (Synthetic; no personal data),invalid
REP00034,Z10,2025-10-01T17:38:00Z,music,evening(17-22),Report of music noise in Z10 during evening(17-22). (Synthetic; no personal data),under_review
REP00035,Z04,2025-10-01T17:55:00Z,traffic,night(00-06),Report of traffic noise in Z04 during night(00-06). (Synthetic; no personal data),valid
REP00036,Z03,2025-10-01T18:12:00Z,construction,evening(17-22),Report of construction noise in Z03 during evening(17-22). (Synthetic; no personal data),valid
REP00037,Z07,2025-10-01T18:29:00Z,music,night(00-06),Report of music noise in Z07 during night(00-06). (Synthetic; no personal data),invalid
REP00038,Z03,2025-10-01T18:46:00Z,construction,late(22-24),Report of construction noise in Z03 during late(22-24). (Synthetic; no personal data),duplicate
REP00039,Z10,2025-10-01T19:03:00Z,construction,late(22-24),Report of construction noise in Z10 during late(22-24). (Synthetic; no personal data),duplicate
REP00040,Z09,2025-10-01T19:20:00Z,construction,night(00-06),Report of construction noise in Z09 during night(00-06). (Synthetic; no personal data),under_review
REP00041,Z08,2025-10-01T19:37:00Z,construction,day(09-17),Report of construction noise in Z08 during day(09-17). (Synthetic; no personal data),valid
REP00042,Z03,2025-10-01T19:54:00Z,construction,night(00-06),Report of construction noise in Z03 during night(00-06). (Synthetic; no personal data),under_review
REP00043,Z07,2025-10-01T20:11:00Z,construction,day(09-17),Report of construction noise in Z07 during day(09-17). (Synthetic; no personal data),valid
REP00044,Z07,2025-10-01T20:28:00Z,music,night(00-06),Report of music noise in Z07 during night(00-06). (Synthetic; no personal data),duplicate
REP00045,Z01,2025-10-01T20:45:00Z,music,late(22-24),Report of music noise in Z01 during late(22-24). (Synthetic; no personal data),under_review
REP00046,Z01,2025-10-01T21:02:00Z,neighbours,evening(17-22),Report of neighbours noise in Z01 during evening(17-22). (Synthetic; no personal data),under_review
REP00047,Z02,2025-10-01T21:19:00Z,machinery,late(22-24),Report of machinery noise in Z02 during late(22-24). (Synthetic; no personal data),duplicate
REP00048,Z04,2025-10-01T21:36:00Z,neighbours,morning(06-09),Report of neighbours noise in Z04 during morning(06-09). (Synthetic; no personal data),valid
REP00049,Z05,2025-10-01T21:53:00Z,neighbours,evening(17-22),Report of neighbours noise in Z05 during evening(17-22). (Synthetic; no personal data),under_review
REP00050,Z08,2025-10-01T22:10:00Z,other,morning(06-09),Report of other noise in Z08 during morning(06-09). (Synthetic; no personal data),under_review
REP00051,Z12,2025-10-01T22:27:00Z,traffic,morning(06-09),Report of traffic noise in Z12 during morning(06-09). (Synthetic; no personal data),invalid
REP00052,Z04,2025-10-01T22:44:00Z,music,evening(17-22),Report of music noise in Z04 during evening(17-22). (Synthetic; no personal data),under_review
REP00053,Z04,2025-10-01T23:01:00Z,neighbours,night(00-06),Report of neighbours noise in Z04 during night(00-06). (Synthetic; no personal data),valid
REP00054,Z05,2025-10-01T23:18:00Z,music,night(00-06),Report of music noise in Z05 during night(00-06). (Synthetic; no personal data),valid
REP00055,Z05,2025-10-01T23:35:00Z,music,day(09-17),Report of music noise in Z05 during day(09-17). (Synthetic; no personal data),valid
REP00056,Z02,2025-10-01T23:52:00Z,neighbours,evening(17-22),Report of neighbours noise in Z02 during evening(17-22). (Synthetic; no personal data),duplicate
REP00057,Z09,2025-10-02T00:09:00Z,traffic,morning(06-09),Report of traffic noise in Z09 during morning(06-09). (Synthetic; no personal data),under_review
REP00058,Z02,2025-10-02T00:26:00Z,music,day(09-17),Report of music noise in Z02 during day(09-17). (Synthetic; no personal data),under_review
REP00059,Z11,2025-10-02T00:43:00Z,construction,morning(06-09),Report of construction noise in Z11 during morning(06-09). (Synthetic; no personal data),under_review
REP00060,Z03,2025-10-02T01:00:00Z,machinery,day(09-17),Report of machinery noise in Z03 during day(09-17). (Synthetic; no personal data),under_review
REP00061,Z08,2025-10-02T01:17:00Z,construction,late(22-24),Report of construction noise in Z08 during late(22-24). (Synthetic; no personal data),valid
REP00062,Z03,2025-10-02T01:34:00Z,music,day(09-17),Report of music noise in Z03 during day(09-17). (Synthetic; no personal data),valid
REP00063,Z07,2025-10-02T01:51:00Z,machinery,evening(17-22),Report of machinery noise in Z07 during evening(17-22). (Synthetic; no personal data),valid
REP00064,Z03,2025-10-02T02:08:00Z,neighbours,night(00-06),Report of neighbours noise in Z03 during night(00-06). (Synthetic; no personal data),duplicate
REP00065,Z10,2025-10-02T02:25:00Z,machinery,evening(17-22),Report of machinery noise in Z10 during evening(17-22). (Synthetic; no personal data),under_review
REP00066,Z09,2025-10-02T02:42:00Z,construction,evening(17-22),Report of construction noise in Z09 during evening(17-22). (Synthetic; no personal data),under_review
REP00067,Z05,2025-10-02T02:59:00Z,neighbours,late(22-24),Report of neighbours noise in Z05 during late(22-24). (Synthetic; no personal data),under_review
REP00068,Z12,2025-10-02T03:16:00Z,construction,morning(06-09),Report of construction noise in Z12 during morning(06-09). (Synthetic; no personal data),valid
REP00069,Z10,2025-10-02T03:33:00Z,traffic,night(00-06),Report of traffic noise in Z10 during night(00-06). (Synthetic; no personal data),under_review
REP00070,Z11,2025-10-02T03:50:00Z,other,night(00-06),Report of other noise in Z11 during night(00-06). (Synthetic; no personal data),valid
REP00071,Z08,2025-10-02T04:07:00Z,construction,morning(06-09),Report of construction noise in Z08 during morning(06-09). (Synthetic; no personal data),invalid
REP00072,Z01,2025-10-02T04:24:00Z,machinery,night(00-06),Report of machinery noise in Z01 during night(00-06). (Synthetic; no personal data),under_review
REP00073,Z10,2025-10-02T04:41:00Z,machinery,morning(06-09),Report of machinery noise in Z10 during morning(06-09). (Synthetic; no personal data),under_review
REP00074,Z01,2025-10-02T04:58:00Z,neighbours,late(22-24),Report of neighbours noise in Z01 during late(22-24). (Synthetic; no personal data),under_review
REP00075,Z09,2025-10-02T05:15:00Z,neighbours,late(22-24),Report of neighbours noise in Z09 during late(22-24). (Synthetic; no personal data),under_review
REP00076,Z12,2025-10-02T05:32:00Z,traffic,late(22-24),Report of traffic noise in Z12 during late(22-24). (Synthetic; no personal data),under_review
REP00077,Z11,2025-10-02T05:49:00Z,traffic,day(09-17),Report of traffic noise in Z11 during day(09-17). (Synthetic; no personal data),duplicate
REP00078,Z06,2025-10-02T06:06:00Z,other,day(09-17),Report of other noise in Z06 during day(09-17). (Synthetic; no personal data),under_review
REP00079,Z07,2025-10-02T06:23:00Z,construction,night(00-06),Report of construction noise in Z07 during night(00-06). (Synthetic; no personal data),under_review
REP00080,Z01,2025-10-02T06:40:00Z,other,day(09-17),Report of other noise in Z01 during day(09-17). (Synthetic; no personal data),duplicate
REP00081,Z06,2025-10-02T06:57:00Z,traffic,evening(17-22),Report of traffic noise in Z06 during evening(17-22). (Synthetic; no personal data),duplicate
REP00082,Z11,2025-10-02T07:14:00Z,music,evening(17-22),Report of music noise in Z11 during evening(17-22). (Synthetic; no personal data),valid
REP00083,Z12,2025-10-02T07:31:00Z,other,evening(17-22),Report of other noise in Z12 during evening(17-22). (Synthetic; no personal data),under_review
REP00084,Z11,2025-10-02T07:48:00Z,other,morning(06-09),Report of other noise in Z11 during morning(06-09). (Synthetic; no personal data),valid
REP00085,Z10,2025-10-02T08:05:00Z,music,morning(06-09),Report of music noise in Z10 during morning(06-09). (Synthetic; no personal data),under_review
REP00086,Z01,2025-10-02T08:22:00Z,machinery,morning(06-09),Report of machinery noise in Z01 during morning(06-09). (Synthetic; no personal data),under_review
REP00087,Z06,2025-10-02T08:39:00Z,machinery,night(00-06),Report of machinery noise in Z06 during night(00-06). (Synthetic; no personal data),duplicate
REP00088,Z07,2025-10-02T08:56:00Z,neighbours,morning(06-09),Report of neighbours noise in Z07 during morning(06-09). (Synthetic; no personal data),under_review
REP00089,Z10,2025-10-02T09:13:00Z,music,morning(06-09),Report of music noise in Z10 during morning(06-09). (Synthetic; no personal data),valid
REP00090,Z01,2025-10-02T09:30:00Z,construction,evening(17-22),Report of construction noise in Z01 during evening(17-22). (Synthetic; no personal data),under_review
REP00091,Z09,2025-10-02T09:47:00Z,neighbours,late(22-24),Report of neighbours noise in Z09 during late(22-24). (Synthetic; no personal data),duplicate
REP00092,Z08,2025-10-02T10:04:00Z,other,day(09-17),Report of other noise in Z08 during day(09-17). (Synthetic; no personal data),under_review
REP00093,Z08,2025-10-02T10:21:00Z,traffic,late(22-24),Report of traffic noise in Z08 during late(22-24). (Synthetic; no personal data),valid
REP00094,Z09,2025-10-02T10:38:00Z,machinery,day(09-17),Report of machinery noise in Z09 during day(09-17). (Synthetic; no personal data),under_review
REP00095,Z04,2025-10-02T10:55:00Z,traffic,night(00-06),Report of traffic noise in Z04 during night(00-06). (Synthetic; no personal data),valid
REP00096,Z08,2025-10-02T11:12:00Z,construction,evening(17-22),Report of construction noise in Z08 during evening(17-22). (Synthetic; no personal data),under_review
REP00097,Z11,2025-10-02T11:29:00Z,music,evening(17-22),Report of music noise in Z11 during evening(17-22). (Synthetic; no personal data),under_review
REP00098,Z12,2025-10-02T11:46:00Z,music,day(09-17),Report of music noise in Z12 during day(09-17). (Synthetic; no personal data),duplicate
REP00099,Z05,2025-10-02T12:03:00Z,construction,day(09-17),Report of construction noise in Z05 during day(09-17). (Synthetic; no personal data),valid
REP00100,Z09,2025-10-02T12:20:00Z,construction,late(22-24),Report of construction noise in Z09 during late(22-24). (Synthetic; no personal data),under_review
REP00101,Z11,2025-10-02T12:37:00Z,neighbours,day(09-17),Report of neighbours noise in Z11 during day(09-17). (Synthetic; no personal data),under_review
REP00102,Z12,2025-10-02T12:54:00Z,construction,night(00-06),Report of construction noise in Z12 during night(00-06). (Synthetic; no personal data),under_review
REP00103,Z05,2025-10-02T13:11:00Z,traffic,morning(06-09),Report of traffic noise in Z05 during morning(06-09). (Synthetic; no personal data),invalid
REP00104,Z11,2025-10-02T13:28:00Z,music,late(22-24),Report of music noise in Z11 during late(22-24). (Synthetic; no personal data),under_review
REP00105,Z06,2025-10-02T13:45:00Z,music,day(09-17),Report of music noise in Z06 during day(09-17). (Synthetic; no personal data),invalid
REP00106,Z07,2025-10-02T14:02:00Z,traffic,day(09-17),Report of traffic noise in Z07 during day(09-17). (Synthetic; no personal data),valid
REP00107,Z10,2025-10-02T14:19:00Z,music,morning(06-09),Report of music noise in Z10 during morning(06-09). (Synthetic; no personal data),under_review
REP00108,Z11,2025-10-02T14:36:00Z,music,late(22-24),Report of music noise in Z11 during late(22-24). (Synthetic; no personal data),valid
REP00109,Z06,2025-10-02T14:53:00Z,traffic,late(22-24),Report of traffic noise in Z06 during late(22-24). (Synthetic; no personal data),under_review
REP00110,Z07,2025-10-02T15:10:00Z,neighbours,day(09-17),Report of neighbours noise in Z07 during day(09-17). (Synthetic; no personal data),under_review
REP00111,Z11,2025-10-02T15:27:00Z,music,evening(17-22),Report of music noise in Z11 during evening(17-22). (Synthetic; no personal data),duplicate
REP00112,Z12,2025-10-02T15:44:00Z,neighbours,night(00-06),Report of neighbours noise in Z12 during night(00-06). (Synthetic; no personal data),under_review
REP00113,Z10,2025-10-02T16:01:00Z,machinery,morning(06-09),Report of machinery noise in Z10 during morning(06-09). (Synthetic; no personal data),duplicate
REP00114,Z03,2025-10-02T16:18:00Z,neighbours,late(22-24),Report of neighbours noise in Z03 during late(22-24). (Synthetic; no personal data),invalid
REP00115,Z09,2025-10-02T16:35:00Z,traffic,late(22-24),Report of traffic noise in Z09 during late(22-24). (Synthetic; no personal data),invalid
REP00116,Z02,2025-10-02T16:52:00Z,traffic,evening(17-22),Report of traffic noise in Z02 during evening(17-22). (Synthetic; no personal data),under_review
REP00117,Z12,2025-10-02T17:09:00Z,traffic,evening(17-22),Report of traffic noise in Z12 during evening(17-22). (Synthetic; no personal data),duplicate
REP00118,Z11,2025-10-02T17:26:00Z,construction,night(00-06),Report of construction noise in Z11 during night(00-06). (Synthetic; no personal data),under_review
REP00119,Z11,2025-10-02T17:43:00Z,machinery,late(22-24),Report of machinery noise in Z11 during late(22-24). (Synthetic; no personal data),invalid
REP00120,Z11,2025-10-02T18:00:00Z,other,late(22-24),Report of other noise in Z11 during late(22-24). (Synthetic; no personal data),under_review
REP00121,Z02,2025-10-02T18:17:00Z,music,night(00-06),Report of music noise in Z02 during night(00-06). (Synthetic; no personal data),under_review
REP00122,Z12,2025-10-02T18:34:00Z,machinery,evening(17-22),Report of machinery noise in Z12 during evening(17-22). (Synthetic; no personal data),duplicate
REP00123,Z09,2025-10-02T18:51:00Z,music,evening(17-22),Report of music noise in Z09 during evening(17-22). (Synthetic; no personal data),valid
REP00124,Z02,2025-10-02T19:08:00Z,traffic,evening(17-22),Report of traffic noise in Z02 during evening(17-22). (Synthetic; no personal data),under_review
REP00125,Z05,2025-10-02T19:25:00Z,music,day(09-17),Report of music noise in Z05 during day(09-17). (Synthetic; no personal data),under_review
REP00126,Z11,2025-10-02T19:42:00Z,neighbours,morning(06-09),Report of neighbours noise in Z11 during morning(06-09). (Synthetic; no personal data),under_review
REP00127,Z05,2025-10-02T19:59:00Z,construction,morning(06-09),Report of construction noise in Z05 during morning(06-09). (Synthetic; no personal data),invalid
REP00128,Z02,2025-10-02T20:16:00Z,neighbours,night(00-06),Report of neighbours noise in Z02 during night(00-06). (Synthetic; no personal data),under_review
REP00129,Z03,2025-10-02T20:33:00Z,music,day(09-17),Report of music noise in Z03 during day(09-17). (Synthetic; no personal data),valid
REP00130,Z11,2025-10-02T20:50:00Z,traffic,evening(17-22),Report of traffic noise in Z11 during evening(17-22). (Synthetic; no personal data),valid
REP00131,Z11,2025-10-02T21:07:00Z,other,late(22-24),Report of other noise in Z11 during late(22-24). (Synthetic; no personal data),under_review
REP00132,Z10,2025-10-02T21:24:00Z,machinery,morning(06-09),Report of machinery noise in Z10 during morning(06-09). (Synthetic; no personal data),under_review
REP00133,Z01,2025-10-02T21:41:00Z,traffic,day(09-17),Report of traffic noise in Z01 during day(09-17). (Synthetic; no personal data),under_review
REP00134,Z09,2025-10-02T21:58:00Z,neighbours,morning(06-09),Report of neighbours noise in Z09 during morning(06-09). (Synthetic; no personal data),duplicate
REP00135,Z02,2025-10-02T22:15:00Z,machinery,day(09-17),Report of machinery noise in Z02 during day(09-17). (Synthetic; no personal data),invalid
REP00136,Z08,2025-10-02T22:32:00Z,traffic,late(22-24),Report of traffic noise in Z08 during late(22-24). (Synthetic; no personal data),under_review
REP00137,Z03,2025-10-02T22:49:00Z,construction,evening(17-22),Report of construction noise in Z03 during evening(17-22). (Synthetic; no personal data),under_review
REP00138,Z01,2025-10-02T23:06:00Z,traffic,morning(06-09),Report of traffic noise in Z01 during morning(06-09). (Synthetic; no personal data),under_review
REP00139,Z02,2025-10-02T23:23:00Z,traffic,morning(06-09),Report of traffic noise in Z02 during morning(06-09). (Synthetic; no personal data),valid
REP00140,Z04,2025-10-02T23:40:00Z,music,night(00-06),Report of music noise in Z04 during night(00-06). (Synthetic; no personal data),under_review
REP00141,Z05,2025-10-02T23:57:00Z,traffic,night(00-06),Report of traffic noise in Z05 during night(00-06). (Synthetic; no personal data),under_review
REP00142,Z03,2025-10-03T00:14:00Z,traffic,late(22-24),Report of traffic noise in Z03 during late(22-24). (Synthetic; no personal data),under_review
REP00143,Z04,2025-10-03T00:31:00Z,neighbours,day(09-17),Report of neighbours noise in Z04 during day(09-17). (Synthetic; no personal data),valid
REP00144,Z05,2025-10-03T00:48:00Z,music,day(09-17),Report of music noise in Z05 during day(09-17). (Synthetic; no personal data),under_review
REP00145,Z05,2025-10-03T01:05:00Z,music,day(09-17),Report of music noise in Z05 during day(09-17). (Synthetic; no personal data),under_review
REP00146,Z06,2025-10-03T01:22:00Z,machinery,evening(17-22),Report of machinery noise in Z06 during evening(17-22). (Synthetic; no personal data),valid
REP00147,Z09,2025-10-03T01:39:00Z,other,day(09-17),Report of other noise in Z09 during day(09-17). (Synthetic; no personal data),duplicate
REP00148,Z09,2025-10-03T01:56:00Z,traffic,day(09-17),Report of traffic noise in Z09 during day(09-17). (Synthetic; no personal data),valid
REP00149,Z10,2025-10-03T02:13:00Z,music,evening(17-22),Report of music noise in Z10 during evening(17-22). (Synthetic; no personal data),valid
REP00150,Z06,2025-10-03T02:30:00Z,construction,night(00-06),Report of construction noise in Z06 during night(00-06). (Synthetic; no personal data),under_review
REP00151,Z09,2025-10-03T02:47:00Z,other,day(09-17),Report of other noise in Z09 during day(09-17). (Synthetic; no personal data),valid
REP00152,Z09,2025-10-03T03:04:00Z,other,evening(17-22),Report of other noise in Z09 during evening(17-22). (Synthetic; no personal data),invalid
REP00153,Z07,2025-10-03T03:21:00Z,neighbours,day(09-17),Report of neighbours noise in Z07 during day(09-17). (Synthetic; no personal data),invalid
REP00154,Z08,2025-10-03T03:38:00Z,music,day(09-17),Report of music noise in Z08 during day(09-17). (Synthetic; no personal data),under_review
REP00155,Z02,2025-10-03T03:55:00Z,neighbours,night(00-06),Report of neighbours noise in Z02 during night(00-06). (Synthetic; no personal data),under_review
REP00156,Z01,2025-10-03T04:12:00Z,music,morning(06-09),Report of music noise in Z01 during morning(06-09). (Synthetic; no personal data),under_review
REP00157,Z01,2025-10-03T04:29:00Z,machinery,evening(17-22),Report of machinery noise in Z01 during evening(17-22). (Synthetic; no personal data),valid
REP00158,Z06,2025-10-03T04:46:00Z,other,night(00-06),Report of other noise in Z06 during night(00-06). (Synthetic; no personal data),valid
REP00159,Z02,2025-10-03T05:03:00Z,music,morning(06-09),Report of music noise in Z02 during morning(06-09). (Synthetic; no personal data),valid
REP00160,Z11,2025-10-03T05:20:00Z,neighbours,morning(06-09),Report of neighbours noise in Z11 during morning(06-09). (Synthetic; no personal data),duplicate
REP00161,Z12,2025-10-03T05:37:00Z,other,night(00-06),Report of other noise in Z12 during night(00-06). (Synthetic; no personal data),invalid
REP00162,Z07,2025-10-03T05:54:00Z,neighbours,day(09-17),Report of neighbours noise in Z07 during day(09-17). (Synthetic; no personal data),valid
REP00163,Z08,2025-10-03T06:11:00Z,construction,day(09-17),Report of construction noise in Z08 during day(09-17). (Synthetic; no personal data),under_review
REP00164,Z09,2025-10-03T06:28:00Z,machinery,morning(06-09),Report of machinery noise in Z09 during morning(06-09). (Synthetic; no personal data),valid
REP00165,Z06,2025-10-03T06:45:00Z,music,day(09-17),Report of music noise in Z06 during day(09-17). (Synthetic; no personal data),valid
REP00166,Z09,2025-10-03T07:02:00Z,music,late(22-24),Report of music noise in Z09 during late(22-24). (Synthetic; no personal data),under_review
REP00167,Z12,2025-10-03T07:19:00Z,machinery,late(22-24),Report of machinery noise in Z12 during late(22-24). (Synthetic; no personal data),duplicate
REP00168,Z12,2025-10-03T07:36:00Z,neighbours,morning(06-09),Report of neighbours noise in Z12 during morning(06-09). (Synthetic; no personal data),duplicate
REP00169,Z10,2025-10-03T07:53:00Z,music,night(00-06),Report of music noise in Z10 during night(00-06). (Synthetic; no personal data),under_review
REP00170,Z04,2025-10-03T08:10:00Z,traffic,day(09-17),Report of traffic noise in Z04 during day(09-17). (Synthetic; no personal data),valid
REP00171,Z11,2025-10-03T08:27:00Z,music,day(09-17),Report of music noise in Z11 during day(09-17). (Synthetic; no personal data),duplicate
REP00172,Z04,2025-10-03T08:44:00Z,construction,day(09-17),Report of construction noise in Z04 during day(09-17). (Synthetic; no personal data),valid
REP00173,Z10,2025-10-03T09:01:00Z,music,day(09-17),Report of music noise in Z10 during day(09-17). (Synthetic; no personal data),under_review
REP00174,Z08,2025-10-03T09:18:00Z,traffic,night(00-06),Report of traffic noise in Z08 during night(00-06). (Synthetic; no personal data),under_review
REP00175,Z12,2025-10-03T09:35:00Z,construction,morning(06-09),Report of construction noise in Z12 during morning(06-09). (Synthetic; no personal data),under_review
REP00176,Z10,2025-10-03T09:52:00Z,other,morning(06-09),Report of other noise in Z10 during morning(06-09). (Synthetic; no personal data),under_review
REP00177,Z11,2025-10-03T10:09:00Z,music,morning(06-09),Report of music noise in Z11 during morning(06-09). (Synthetic; no personal data),duplicate
REP00178,Z10,2025-10-03T10:26:00Z,traffic,evening(17-22),Report of traffic noise in Z10 during evening(17-22). (Synthetic; no personal data),under_review
REP00179,Z10,2025-10-03T10:43:00Z,other,night(00-06),Report of other noise in Z10 during night(00-06). (Synthetic; no personal data),valid
REP00180,Z05,2025-10-03T11:00:00Z,music,day(09-17),Report of music noise in Z05 during day(09-17). (Synthetic; no personal data),invalid
REP00181,Z09,2025-10-03T11:17:00Z,traffic,morning(06-09),Report of traffic noise in Z09 during morning(06-09). (Synthetic; no personal data),under_review
REP00182,Z12,2025-10-03T11:34:00Z,machinery,late(22-24),Report of machinery noise in Z12 during late(22-24). (Synthetic; no personal data),under_review
REP00183,Z11,2025-10-03T11:51:00Z,other,evening(17-22),Report of other noise in Z11 during evening(17-22). (Synthetic; no personal data),under_review
REP00184,Z07,2025-10-03T12:08:00Z,traffic,night(00-06),Report of traffic noise in Z07 during night(00-06). (Synthetic; no personal data),under_review
REP00185,Z04,2025-10-03T12:25:00Z,machinery,day(09-17),Report of machinery noise in Z04 during day(09-17). (Synthetic; no personal data),valid
REP00186,Z11,2025-10-03T12:42:00Z,neighbours,night(00-06),Report of neighbours noise in Z11 during night(00-06). (Synthetic; no personal data),invalid
REP00187,Z08,2025-10-03T12:59:00Z,other,late(22-24),Report of other noise in Z08 during late(22-24). (Synthetic; no personal data),valid
REP00188,Z02,2025-10-03T13:16:00Z,neighbours,night(00-06),Report of neighbours noise in Z02 during night(00-06). (Synthetic; no personal data),invalid
REP00189,Z09,2025-10-03T13:33:00Z,machinery,day(09-17),Report of machinery noise in Z09 during day(09-17). (Synthetic; no personal data),invalid
REP00190,Z09,2025-10-03T13:50:00Z,construction,evening(17-22),Report of construction noise in Z09 during evening(17-22). (Synthetic; no personal data),under_review
REP00191,Z03,2025-10-03T14:07:00Z,construction,late(22-24),Report of construction noise in Z03 during late(22-24). (Synthetic; no personal data),under_review
REP00192,Z11,2025-10-03T14:24:00Z,traffic,late(22-24),Report of traffic noise in Z11 during late(22-24). (Synthetic; no personal data),duplicate
REP00193,Z03,2025-10-03T14:41:00Z,music,late(22-24),Report of music noise in Z03 during late(22-24). (Synthetic; no personal data),valid
REP00194,Z05,2025-10-03T14:58:00Z,music,night(00-06),Report of music noise in Z05 during night(00-06). (Synthetic; no personal data),under_review
REP00195,Z09,2025-10-03T15:15:00Z,construction,day(09-17),Report of construction noise in Z09 during day(09-17). (Synthetic; no personal data),invalid
REP00196,Z08,2025-10-03T15:32:00Z,neighbours,night(00-06),Report of neighbours noise in Z08 during night(00-06). (Synthetic; no personal data),under_review
REP00197,Z08,2025-10-03T15:49:00Z,other,night(00-06),Report of other noise in Z08 during night(00-06). (Synthetic; no personal data),valid
REP00198,Z08,2025-10-03T16:06:00Z,neighbours,evening(17-22),Report of neighbours noise in Z08 during evening(17-22). (Synthetic; no personal data),valid
REP00199,Z05,2025-10-03T16:23:00Z,traffic,day(09-17),Report of traffic noise in Z05 during day(09-17). (Synthetic; no personal data),invalid
REP00200,Z02,2025-10-03T16:40:00Z,machinery,day(09-17),Report of machinery noise in Z02 during day(09-17). (Synthetic; no personal data),duplicate
